ID,CPF,NOME,Grupo Sanguíneo
1,811.493.100-06,Maria Rosa,A+
2,578.169.410-21,Pedro Pires,O+
3,001.513.160-23,João Silva,O+
4,001.513.160-23,João Silva,O-
5,698.471.920-81,André Falcão,AB+
6,659.574.960-22,Marcia Pereira,B-
7,578.169.410-21,Silvia Campos,O-
8,166.725.100-79,Marcia Pinho,O+
9,017.476.690-40,Pedro Silva,B+
10,546.539.240-15,Larissa Teles,O+
11,377.717.500-52,Antônio Teles,
12,377.717.500-52,Michele Ferraz,A+
13,236.042.700-81,Lucia Couto,O+
14,457.370.090-09,,AB-
15,528.787.080-91,,A+
