ID,CPF,NOME,Grupo Sanguíneo
3245,811.493.100-06,Maria Rosa,A+
3246,578.169.410-21,Pedro Pires,O+
3247,001.513.160-23,João Saldanha,O+
3248,001.513.160-23,Gilda Tavares,
3249,698.471.920-81,André Falcão,AB+
3250,659.574.960-22,Marcia Pereira,B-
3251,578.169.410-21,Silvia Campos,O-
3252,166.725.100-79,Fernando Cabral,O+
3253,017.476.690-40,Pedro Silva,B+
3254,546.539.240-15,Larissa Teles,O+
3255,377.717.500-52,Antônio Teles,O-
3256,377.717.500-52,Michele Ferraz,A+
3257,236.042.700-81,Lucia Couto,O+
3258,457.370.090-09,AB-,AB-
3259,528.787.080-91,José Pereira,A+
3260,192.296.630-42,Cláudia Cintra,A+
3261,869.253.230-42,João Silva,O-
3262,510.478.540-82,Giovane Paes,O+
3263,795.553.570-72,Nádia Fux,B-
3264,805.199.270-95,Marcia Pinho,AB-
